audio_id,audio_name,year,month,day,type,duration_min,audio_r2_url,audio_drive_url,transcript_id,transcript_name,transcript_r2_url,transcript_drive_url,mapping_confidence,match_reason
"a_19","0001--5711-Shvat 10 Sicha 1.mp3","5711","Shevat",10,"",10.8,"https://audio.kohnai.ai/training/0001--5711-Shvat%2010%20Sicha%201.mp3","https://drive.google.com/file/d/1au0aoX-xijbwnOYso8W_vLceS2JeE8tR/view","t_1010","10 Shevat 5711 - Maamar Basi Lgani.DOC","/api/transcript?name=10%20Shevat%205711%20-%20Maamar%20Basi%20Lgani.txt","https://drive.google.com/file/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/view",0.95,"50hr-selected"
"a_20","0016--5711-Tamuz 12b Mamar.mp3","5711","Tamuz",12,"",11.28,"https://audio.kohnai.ai/training/0016--5711-Tamuz%2012b%20Mamar.mp3","https://drive.google.com/file/d/15PawE7EfK4nSLqXJt8JmQMz3UxdncqRU/view","t_997","12 Tammuz 5711 Sicha 1.docx","/api/transcript?name=12%20Tammuz%205711%20Sicha%201.txt","https://drive.google.com/file/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/view",0.95,"50hr-selected"
"a_14","0020--5711-Tamuz 12f Sicha 5.mp3","5711","Tamuz",12,"",9.42,"https://audio.kohnai.ai/training/0020--5711-Tamuz%2012f%20Sicha%205.mp3","https://drive.google.com/file/d/1D1qNpUJrNg5Oc8Vs6br-eJEEQk496DxF/view","t_997","12 Tammuz 5711 Sicha 1.docx","/api/transcript?name=12%20Tammuz%205711%20Sicha%201.txt","https://drive.google.com/file/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/view",0.95,"50hr-selected"
"a_15","0021--5711-Tamuz 12g Sicha 6.mp3","5711","Tamuz",12,"",18.36,"https://audio.kohnai.ai/training/0021--5711-Tamuz%2012g%20Sicha%206.mp3","https://drive.google.com/file/d/1IliyhfzZTkPzJuhlUzaXkyqBC4hB9sOD/view","t_997","12 Tammuz 5711 Sicha 1.docx","/api/transcript?name=12%20Tammuz%205711%20Sicha%201.txt","https://drive.google.com/file/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/view",0.95,"50hr-selected"
"a_55","0050--5712-Tevet 24b Sicha 2.mp3","5712","Teves",24,"",4.51,"https://audio.kohnai.ai/training/0050--5712-Tevet%2024b%20Sicha%202.mp3","https://drive.google.com/file/d/1OgPPemFu2baYliXUmbccEG9IU8LVQNdm/view","t_1005","24 Teves 5712 excerpt.docx","/api/transcript?name=24%20Teves%205712%20excerpt.txt","https://drive.google.com/file/d/1UCj2W_JDEU0M19_B6PZ1FUd8WzCDsU8J/view",0.95,"50hr-selected"
"a_54","0051--5712-Tevet 24c Sicha 3.mp3","5712","Teves",24,"",6.42,"https://audio.kohnai.ai/training/0051--5712-Tevet%2024c%20Sicha%203.mp3","https://drive.google.com/file/d/1L3wUTRP8pwyO-j4C6yCwJaT8eirh80pa/view","t_1005","24 Teves 5712 excerpt.docx","/api/transcript?name=24%20Teves%205712%20excerpt.txt","https://drive.google.com/file/d/1UCj2W_JDEU0M19_B6PZ1FUd8WzCDsU8J/view",0.95,"50hr-selected"
"a_52","0052--5712-Tevet 24d Sicha 4.mp3","5712","Teves",24,"",7.03,"https://audio.kohnai.ai/training/0052--5712-Tevet%2024d%20Sicha%204.mp3","https://drive.google.com/file/d/1V-dok4fgMjC3y9xNcykid7asCRs-C-OQ/view","t_1005","24 Teves 5712 excerpt.docx","/api/transcript?name=24%20Teves%205712%20excerpt.txt","https://drive.google.com/file/d/1UCj2W_JDEU0M19_B6PZ1FUd8WzCDsU8J/view",0.95,"50hr-selected"
"a_53","0053--5712-Tevet 24e Sicha 5.mp3","5712","Teves",24,"",9.09,"https://audio.kohnai.ai/training/0053--5712-Tevet%2024e%20Sicha%205.mp3","https://drive.google.com/file/d/1VBY-zpt4u5NdGU3FJdXOT3g8FM73OzJc/view","t_1005","24 Teves 5712 excerpt.docx","/api/transcript?name=24%20Teves%205712%20excerpt.txt","https://drive.google.com/file/d/1UCj2W_JDEU0M19_B6PZ1FUd8WzCDsU8J/view",0.95,"50hr-selected"
"a_50","0055--5712-Shvat 10 Mamar.mp3","5712","Shevat",10,"",20.92,"https://audio.kohnai.ai/training/0055--5712-Shvat%2010%20Mamar.mp3","https://drive.google.com/file/d/15dl5UGd20oBzYEC8mXRKrMW36nQeltTx/view","t_998","10 Shevat 5712 Sicha 1.docx","/api/transcript?name=10%20Shevat%205712%20Sicha%201.txt","https://drive.google.com/file/d/1ZXfM4_y4gS2_WUrY-qIIY_plpB4Dalzl/view",0.95,"50hr-selected"
"a_48","0056--5712-Shvat 10b Sicha 1.mp3","5712","Shevat",10,"",11.22,"https://audio.kohnai.ai/training/0056--5712-Shvat%2010b%20Sicha%201.mp3","https://drive.google.com/file/d/1HwYObu2B9Ijr8Fve3LhSjGHS0-jOLK4s/view","t_998","10 Shevat 5712 Sicha 1.docx","/api/transcript?name=10%20Shevat%205712%20Sicha%201.txt","https://drive.google.com/file/d/1ZXfM4_y4gS2_WUrY-qIIY_plpB4Dalzl/view",0.95,"50hr-selected"
